ID,Suburb
575,MOUNTAINSIDE ESTATE
274,MOUNTAINSIDE EXT 2
221,MOUNTVIEW
755,MOWBRAY
737,MUIZENBERG
614,MXOLISI PHETANI
656,N1-STAD
464,NATURES VALLEY
651,NATURE'S VALLEY
96,NERINA
481,NEW MACASSAR
404,NEW SCHEME
240,NEW WOODLANDS
222,NEWFIELDS
718,NEWLANDS
678,NIEUW MAASTRECHT-1
3,NIEUW MAASTRECHT-2
408,NOMZAMO
501,NONQUBELA
166,NOOITGEDACHT
423,NOORDHOEK
145,NORMANDIE ESTATE
122,NORTHGATE
486,NORTHPINE
266,NUTWOOD
599,NYANGA
544,OAKDALE
18,OAKDENE
541,OAKGLEN
688,OBSERVATORY
470,OCEAN VIEW
136,OKAVANGO PARK
463,O'KENNEDYVILLE
372,OLIVE GROVE
580,ONVERWACHT - GORDON'S BAY
276,ONVERWACHT - THE STRAND
409,ONVERWACHT VILLAGE
519,OOSTERZEE-BELLVILLE
735,ORANJEZICHT
669,OTTERY
682,OUDE WESTHOF
218,OUDEKRAAL
280,PAARDE VLEI
609,PAARDEN EILAND
485,PAARL FARMS
442,PANORAMA
505,PAREL VALLEI
316,PARELVALLEI KLEINHOEWES
432,PARKLANDS
234,PARKWOOD
561,PAROW
405,PAROW EAST
33,PAROW GOLF COURSE
639,PAROW INDUSTRIA
123,PAROW NORTH
156,PAROW VALLEY
336,PEACOCK CLOSE
268,PEARL MARINA
265,PEARL RISE
129,PEERLESS PARK EAST
128,PEERLESS PARK NORTH
130,PEERLESS PARK WEST
606,PELIKAN HEIGHTS
605,PELIKAN PARK
414,PELLA
446,PENHILL
219,PENLYN ESTATE
67,PETROSA TANK FARM
370,PHILADELPHIA
766,PHILIPPI
50,PHILIPPI PARK
331,PHOENIX
223,PINATI ESTATE
380,PINEHURST
437,PINELANDS
521,PLATTEKLOOF 1
407,PLATTEKLOOF 2
685,PLATTEKLOOF 3
654,PLATTEKLOOF GLEN
750,PLUMSTEAD
237,PORTLAND
620,PROTEA HEIGHTS
273,PROTEA PARK - GORDON'S BAY
30,PROTEA PARK - WESFLEUR
528,PROTEA VALLEY
144,PROTEA VILLAGE
97,PROTEAVILLE
697,RACING PARK
624,RAVENSMEAD
559,RETREAT
154,RICHMOND
658,RICHMOND ESTATE
111,RICHMOND PARK
366,RICHWOOD
532,RIDGEWORTH
434,RIVERGATE
323,RIVERSIDE
725,RIVERTON ELSIES RIVER
389,ROBBEN ISLAND
83,ROBINVALE
734,ROCKLANDS
325,ROME GLEN
671,RONDEBOSCH
744,RONDEBOSCH EAST
242,RONDEVLEI PARK
642,ROOSENDAL
349,ROSEBANK
106,ROSEDALE - DURBANVILLE
